store,link,pname,price,category,subcategory,brand,weight
AaramShop.pk,https://www.aaramshop.pk/product-detail/palmolive-naturals-luxurious-softness,Palmolive Naturals Luxurious Softness,Rs. 25.00,Soaps & Sanitizer,Beauty Soaps,Brand - Palmolive Naturals,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-almond-cucumber-peel-off-mask,Himalaya Almond & Cucumber Peel-Off Mask,Rs. 246.00,Skin Care Products,Scrubs & Masks,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-purifying-neem-face-wash,Himalaya Purifying Neem Face Wash,Rs. 136.00,Skin Care Products,Face Washes,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/brite-maximum-power-machine-wash,Brite Maximum Power Machine Wash,Rs. 140.00,Laundry Supplies,Washing Powder,Brand - Brite,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-gentle-hydrating-face-wash,Himalaya Gentle Hydrating Face Wash,Rs. 138.00,Skin Care Products,Scrubs & Masks,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-clarifying-mud-mask,Himalaya Clarifying Mud Mask,Rs. 246.00,Skin Care Products,Scrubs & Masks,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-aloe-and-cucumber-refreshing-moisturizer,Himalaya Aloe and Cucumber Refreshing Moisturizer,Rs. 354.00,Skin Care Products,Face Creams,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-lip-balm,Himalaya Lip Balm,Rs. 120.00,Skin Care Products,Lips Care,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-neem-foaming-face-wash,Himalaya Neem Foaming Face Wash,Rs. 516.00,Skin Care Products,Face Washes,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-clear-complexion-whitening-face-wash,Himalaya Clear Complexion Whitening Face Wash,Rs. 144.00,Skin Care Products,Face Washes,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-refreshing-fruit-mask,Himalaya Refreshing Fruit Mask,Rs. 246.00,Skin Care Products,Scrubs & Masks,Brand - Himalaya Face Care,
AaramShop.pk,https://www.aaramshop.pk/product-detail/himalaya-face-moisturising-lotion,Himalaya Face Moisturising Lotion,Rs. 360.00,Skin Care Products,Face Creams,Brand - Himalaya Face Care,
